Timestamp,Participant ID,What day and time was dinner?,What place was dinner?,What was the message from Mary?,What item did you order from Amazon?,What was the number of missed calls?,What was the sport for the score update?,What was the score in the game?,What day and time was lecture?,What place was lecture?,What was the subject of the email from Susan?,What restaurant did you order from via DoorDash?,What was the remaining battery power?,What was the weather in Chicago?,What was the temperature in Chicago?,Font family of the push notification hinders from completing the primary task to transcribe text.,Font family helps to retain content and recall information.,Background color of the push notification hinders from completing the primary task to transcribe text.,Background color helps to retain content and recall information.,Duration of visibility hinders from completing the primary task to transcribe text.,Duration of visibility helps to retain content and recall information.,Icons associated with the push notification hinders from completing the primary task to transcribe text.,Icons help to retain content and recall information.,Vibrations associated with the push notification hinders from completing the primary task to transcribe text.,Vibrations help to retain content and recall information.,Please explain why or why not font family helps to retain content and recall information.,Please explain why or why not background color helps to retain content and recall information.,Please explain why or why not duration of visibility helps to retain content and recall information.,Please explain why or why not icons help to retain content and recall information.,Please explain why or why not vibrations help to retain content and recall information.
11/30/2022 16:08:03,CE1,Tuesday,Mary’s house,Idk,Monitor,6,Football,16-16,Idk,Idk,Idk,Idk,9%,Cloudy,Idk,4,4,4,4,5,5,4,5,5,3,"I found the font family of the first notification types more familiar and subtle, which may have helped me retain information from the notification better.",I found the background color of the first notifications to be more familiar and subtle which may have helped me retain information better.,Duration of visibility helped me retain information better by allowing me to finish the word or phrase I was typing and then look at the notification at a convenient time.,"Icons may provide a visual to associate with information in a notification, which could help people retain the information.","Short vibrations work well to get my attention to look at the notification, but the longer obnoxious ones annoyed me, causing me not to remember the information in the notification."
12/1/2022 11:55:39,EC1,630,Fresh fin poke,Something about studying ,2 boxes of stuff,3,Football,16-16,Tuesday,Idk,Idk,Ian’s ,5%,Idk,Idk,3,4,4,3,2,5,4,2,2,3,Font family choice helps in retaining and recall when it is something more simple yet readable as it takes less energy to read and then remember where if it’s a good font you can really just scan and then recall,The more neutral and basic the background while also be high contrast against the typeface makes reading a push notification easier and that I think helps retention ,In case I get distracted by something not on the phone having the notification up longer increases the chance I will see and remember it,I feel like the icons helped remember the general concept of the notification like an email received a shipment delivered or a sports score but I found that it also made me forget the details it seems,I think vibrations are pretty neutral they I don’t think they help me retain information but they also did not make me forget it either
12/1/2022 12:58:59,EC2,7:00 pm,Mary,Dinner at 7:00,Shoes,3,Football ,7-0,Tuesday 2 pm,Engineering Hall,Term paper,Chicken wrap,15%,Cloudy rain,45 degrees,4,2,2,1,4,4,3,3,5,1,"The font would catch my attention, but I almost immediately when back to transcribing with no recollection of the info.","The colors made no difference in my ability to transcribe, I would glance at each notification and look away regardless of color ",Having the notification be on screen longer made it so I paid more attention giving more glances and I feel like that helped me remember some things,"Those made no difference for me, I didn’t even notice them",The vibrations were what really broke me concentration and made me look at the notification. If it weren’t for those jolts I would never even stopped typing.
12/1/2022 14:24:22,EC3,6:00 PM,Sushi place ,She’s here ,A package ,3,Basketball ,No clue,Tuesday,Not sure,Not sure,Not sure,8 percent ,Sunny,Not sure ,3,3,4,2,5,4,2,5,5,1,I didn’t think font mattered much either way.,If the background helps with readability and is related in some way to notification it could help with recall.,"I don’t think longer duration has big impact on retention, but is distracting for the primary task.","Visual icons help with remembering the information, like for restaurants and weather.",I thought the vibrations were distracting from the primary task and did not help with recalling information.
12/1/2022 16:13:26,CE2,Tomorrow at 6pm,Fins? (Some seafood place),I’m here.,Pens,3,Football,14-32,Today at 2pm,Social sciences,Meeting?,Ian’s Pizza,5%,Cloudy,40,4,2,5,4,3,3,2,4,3,4,"The different fonts are confusing and hard to read quickly. Maybe if I saw the font again, it would help, but having all different random fonts just makes it confusing.",The color makes the notification stand out a lot more on the screen and forces me to look at it more. I can also associate the message with just the color (ex: red for low battery),"I only really look at the notification when it first pops up, so the duration doesn’t effect my memory too much and just causes more distraction. There was one time though where I didn’t get to fully read the notification before it disappeared.","They give a visual cue to what the notification is about, which is easier to remember. I don’t really remember what any of the icons were, but I think they helped in my original understanding of the message.",They gave my brain a cue that I had a notification. It helped to separate the notifications from the block text in my mind.
12/2/2022 11:19:53,CE3,Sunday at 5,Applebees,I’m ready,Monitor,3,Football,16-16,11:00 am Tuesday ,Upstairs,Homework ,A pizza place,5%,Sunny ,54,1,4,3,4,4,4,2,5,5,1,Bigger font was easier to read quickly and recall,The red color was more eye catching ,The longer a notification is up the longer I had to look at it after finishing the word I was typing,Email and grub hub pictures made it clear that I had seen notifications about those topics but did not help me remember small details ,The vibrations that lasted a while were just distracting in my opinion they did not seemed to make typing hard and did not help me in remembering info. 
12/2/2022 12:41:19,CE4,4:00,Mom’s,No clue ,Monitor,3,Football,16-16,Thursday at 1,No clue,Don’t remember,Don’t remember,6%,Sunny,53,4,2,4,3,5,1,1,1,4,1,"I don’t think that the font helped recall information, I feel like it just made it more difficult to read.","Once again, I don’t feel color helped recall at all only added a distraction.",Duration of visibility didn’t help recall information it only prevented me from completing the task.,I don’t believe icons helped retain information and I didn’t even notice the icons,Vibrations didn’t help and they were more annoying than helpful.
12/2/2022 13:20:56,EC4,Wednesday 18:00,Fin,I am here,Monitor,"No idea,  but I know there is a missed call",Football,16-16,Wednesday 18:00,Discovery building,Science seminar,Ian’s pizza,5%,Partly cloudy,46,2,2,3,3,2,4,1,3,1,1,Weird font make the notification hard to read,Weird color makes words hard to read.,Longer duration means longer time to read it.,If the icon looks striking then it is more likely for me to look at it and remember information,I don’t care about that
12/6/2022 16:30:41,CE5,-,-,I’m here,Monitor ,5,-,16-14,-,-,Test Scores,-,5%,-,-,4,2,4,2,2,2,2,4,1,2,Weird and distracting from the rest of scenario so you don’t want to focus on it as it seems obtrusive and disturbing,It looks important when in red but the actual content gets lost due to the color,If you want to pay heed to the notification you will do anyway and ignore it even if it sticks,Icons at least remind if the notification needs to be checked right now or not,It’s just distracting and if you want to look at the notification and sound pretty much achieves the same.
12/6/2022 17:03:17,CE6,Tuesday 7:00pm,Chipotle ,I’m running late,Shoes,3,Football ,16-16,Friday 9:00am,CS building ,Reminder to fill out your course evaluations,Ian’s Pizza,5%,Sunny,30,5,1,5,2,5,2,4,1,5,1,Unusual fonts were distracting and took more time to process and read,It was distracting and didn’t really help,"Once I looked, I went back to the task at hand and having it longer didn’t help",They didn’t add much in terms of helpfulness and I hardly noticed them at all,They were annoying and just caused distractions to everything (remembering the info and completing the task)
