participant_id,group,question_id,question,answer,icon,vibration,duration,font,color,score
CE1,control,Q01,what_day_and_time_was_dinner,Tuesday,NA,NA,NA,NA,NA,0
CE1,control,Q02,what_place_was_dinner,Mary’s house,NA,NA,NA,NA,NA,0
CE1,control,Q03,what_was_the_message_from_mary,Idk,NA,NA,NA,NA,NA,0
CE1,control,Q04,what_item_did_you_order_from_amazon,Monitor,NA,NA,NA,NA,NA,1
CE1,control,Q05,what_was_the_number_of_missed_calls,6,NA,NA,NA,NA,NA,0
CE1,control,Q06,what_was_the_sport_for_the_score_update,Football,NA,NA,NA,NA,NA,1
CE1,control,Q07,what_was_the_score_in_the_game,16-16,NA,NA,NA,NA,NA,1
CE1,experiment,Q08,what_day_and_time_was_lecture,Idk,0,1,1,0,0,0
CE1,experiment,Q09,what_place_was_lecture,Idk,0,1,1,0,0,0
CE1,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Idk,1,0,0,0,0,0
CE1,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Idk,1,1,0,0,0,0
CE1,experiment,Q12,what_was_the_remaining_battery_power,9%,1,0,0,0,1,0
CE1,experiment,Q13,what_was_the_weather_in_chicago,Cloudy,1,1,0,0,1,1
CE1,experiment,Q14,what_was_the_temperature_in_chicago,Idk,1,1,0,0,1,0
CE10,control,Q01,what_day_and_time_was_dinner,N/A,NA,NA,NA,NA,NA,0
CE10,control,Q02,what_place_was_dinner,N/A,NA,NA,NA,NA,NA,0
CE10,control,Q03,what_was_the_message_from_mary,N/A,NA,NA,NA,NA,NA,0
CE10,control,Q04,what_item_did_you_order_from_amazon,N/A,NA,NA,NA,NA,NA,0
CE10,control,Q05,what_was_the_number_of_missed_calls,3,NA,NA,NA,NA,NA,1
CE10,control,Q06,what_was_the_sport_for_the_score_update,Football,NA,NA,NA,NA,NA,1
CE10,control,Q07,what_was_the_score_in_the_game,Madison 16 vs ? 14,NA,NA,NA,NA,NA,0
CE10,experiment,Q08,what_day_and_time_was_lecture,N/A,0,0,1,0,0,0
CE10,experiment,Q09,what_place_was_lecture,N/A,0,0,1,0,0,0
CE10,experiment,Q10,what_was_the_subject_of_the_email_from_susan,N/A,0,0,0,0,0,0
CE10,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,I just saw DoorDash and ignored everything after that word,0,0,1,1,1,0
CE10,experiment,Q12,what_was_the_remaining_battery_power,10%,1,1,1,1,0,0
CE10,experiment,Q13,what_was_the_weather_in_chicago,N/A,1,0,1,1,0,0
CE10,experiment,Q14,what_was_the_temperature_in_chicago,N/A,1,0,1,1,0,0
CE11,control,Q01,what_day_and_time_was_dinner,9:00,NA,NA,NA,NA,NA,0
CE11,control,Q02,what_place_was_dinner,Fin,NA,NA,NA,NA,NA,1
CE11,control,Q03,what_was_the_message_from_mary,NA,NA,NA,NA,NA,NA,0
CE11,control,Q04,what_item_did_you_order_from_amazon,Bag,NA,NA,NA,NA,NA,0
CE11,control,Q05,what_was_the_number_of_missed_calls,6,NA,NA,NA,NA,NA,0
CE11,control,Q06,what_was_the_sport_for_the_score_update,5,NA,NA,NA,NA,NA,0
CE11,control,Q07,what_was_the_score_in_the_game,7,NA,NA,NA,NA,NA,0
CE11,experiment,Q08,what_day_and_time_was_lecture,Wed 11,1,0,0,1,0,0
CE11,experiment,Q09,what_place_was_lecture,Hall,1,0,0,1,0,0
CE11,experiment,Q10,what_was_the_subject_of_the_email_from_susan,Lecture,1,0,1,1,0,1
CE11,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Fin,0,0,1,0,0,0
CE11,experiment,Q12,what_was_the_remaining_battery_power,3,1,1,1,0,1,0
CE11,experiment,Q13,what_was_the_weather_in_chicago,Cold,1,0,0,1,1,0
CE11,experiment,Q14,what_was_the_temperature_in_chicago,-6,1,0,0,1,1,0
CE12,control,Q01,what_day_and_time_was_dinner,Tuesday 6:00pm,NA,NA,NA,NA,NA,1
CE12,control,Q02,what_place_was_dinner,Fresh fin,NA,NA,NA,NA,NA,1
CE12,control,Q03,what_was_the_message_from_mary,I’m here,NA,NA,NA,NA,NA,1
CE12,control,Q04,what_item_did_you_order_from_amazon,-,NA,NA,NA,NA,NA,0
CE12,control,Q05,what_was_the_number_of_missed_calls,3,NA,NA,NA,NA,NA,1
CE12,control,Q06,what_was_the_sport_for_the_score_update,Football,NA,NA,NA,NA,NA,1
CE12,control,Q07,what_was_the_score_in_the_game,16-16,NA,NA,NA,NA,NA,1
CE12,experiment,Q08,what_day_and_time_was_lecture,-,1,0,0,0,0,0
CE12,experiment,Q09,what_place_was_lecture,-,1,0,0,0,0,0
CE12,experiment,Q10,what_was_the_subject_of_the_email_from_susan,-,1,1,1,1,1,0
CE12,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s pizza,1,0,1,1,1,1
CE12,experiment,Q12,what_was_the_remaining_battery_power,10,1,0,1,0,1,0
CE12,experiment,Q13,what_was_the_weather_in_chicago,-,0,1,0,0,1,0
CE12,experiment,Q14,what_was_the_temperature_in_chicago,47F,0,1,0,0,1,1
CE13,control,Q01,what_day_and_time_was_dinner,6:00 PM,NA,NA,NA,NA,NA,1
CE13,control,Q02,what_place_was_dinner,Fresh fin poke,NA,NA,NA,NA,NA,1
